# A tibble: 9 × 33
  category_var       `2013-Q1` `2013-Q2` `2013-Q3` `2013-Q4` `2014-Q1` `2014-Q2`
  <chr>                  <dbl>     <dbl>     <dbl>     <dbl>     <dbl>     <dbl>
1 Hybrid Entreprene…       0         0         0         0         0         0  
2 Hybrid Entreprene…       0       100        57.7      56.3      62.2      43.0
3 Hybrid Entreprene…     100         0        42.3      43.7      37.8      57.0
4 Non-Entrepreneurs…      18.7      18.9      19.3      18.7      18.6      18.9
5 Non-Entrepreneurs…      53.2      53.0      52.6      52.9      52.9      52.4
6 Non-Entrepreneurs…      28.1      28.1      28.1      28.4      28.5      28.7
7 Poly-Entrepreneur…      24.7      12.0      12.9      28.6      22.5      29.9
8 Poly-Entrepreneur…      41.0      40.1      61.5      36.9      36.8      29.4
9 Poly-Entrepreneur…      34.2      48.0      25.5      34.5      40.7      40.8
# ℹ 26 more variables: `2014-Q3` <dbl>, `2014-Q4` <dbl>, `2015-Q1` <dbl>,
#   `2015-Q2` <dbl>, `2015-Q3` <dbl>, `2015-Q4` <dbl>, `2016-Q1` <dbl>,
#   `2016-Q2` <dbl>, `2016-Q3` <dbl>, `2016-Q4` <dbl>, `2017-Q1` <dbl>,
#   `2017-Q2` <dbl>, `2017-Q3` <dbl>, `2017-Q4` <dbl>, `2018-Q1` <dbl>,
#   `2018-Q2` <dbl>, `2018-Q3` <dbl>, `2018-Q4` <dbl>, `2019-Q1` <dbl>,
#   `2019-Q2` <dbl>, `2019-Q3` <dbl>, `2019-Q4` <dbl>, `2020-Q1` <dbl>,
#   `2020-Q2` <dbl>, `2020-Q3` <dbl>, `2020-Q4` <dbl>
