"year_quarter","category","ddipl","share"
"2013-Q1","Hybrid Entrepreneurs",4,100
"2013-Q1","Non-Entrepreneurs",1,20.2972851126862
"2013-Q1","Non-Entrepreneurs",3,15.8872197461081
"2013-Q1","Non-Entrepreneurs",4,19.649250308496
"2013-Q1","Non-Entrepreneurs",5,24.1271344944129
"2013-Q1","Non-Entrepreneurs",6,6.2738752056063
"2013-Q1","Non-Entrepreneurs",7,13.7652351326906
"2013-Q1","Poly-Entrepreneurs",1,34.2337493405197
"2013-Q1","Poly-Entrepreneurs",3,31.1963168260997
"2013-Q1","Poly-Entrepreneurs",4,9.84276237285184
"2013-Q1","Poly-Entrepreneurs",5,24.7271714605287
"2013-Q2","Hybrid Entrepreneurs",3,69.7265258217883
"2013-Q2","Hybrid Entrepreneurs",5,30.2734741782117
"2013-Q2","Non-Entrepreneurs",1,20.6234841667245
"2013-Q2","Non-Entrepreneurs",3,15.8977083884841
"2013-Q2","Non-Entrepreneurs",4,19.8182771812623
"2013-Q2","Non-Entrepreneurs",5,24.2261162864744
"2013-Q2","Non-Entrepreneurs",6,5.95818518171815
"2013-Q2","Non-Entrepreneurs",7,13.4762287953365
"2013-Q2","Poly-Entrepreneurs",1,26.4405826189547
"2013-Q2","Poly-Entrepreneurs",3,28.4752505715699
"2013-Q2","Poly-Entrepreneurs",4,10.4117267543439
"2013-Q2","Poly-Entrepreneurs",5,22.7209200401372
"2013-Q2","Poly-Entrepreneurs",6,11.9515200149942
"2013-Q3","Hybrid Entrepreneurs",3,40.8475375458288
"2013-Q3","Hybrid Entrepreneurs",5,59.1524624541712
"2013-Q3","Non-Entrepreneurs",1,20.7403729105916
"2013-Q3","Non-Entrepreneurs",3,16.1553760955979
"2013-Q3","Non-Entrepreneurs",4,19.8997413901085
"2013-Q3","Non-Entrepreneurs",5,24.8250336114226
"2013-Q3","Non-Entrepreneurs",6,5.58400826380665
"2013-Q3","Non-Entrepreneurs",7,12.7954677284727
"2013-Q3","Poly-Entrepreneurs",1,7.887258360894
"2013-Q3","Poly-Entrepreneurs",3,23.6064731541864
"2013-Q3","Poly-Entrepreneurs",4,45.2860354647822
"2013-Q3","Poly-Entrepreneurs",5,12.9463846795639
"2013-Q3","Poly-Entrepreneurs",6,10.2738483405734
"2013-Q4","Hybrid Entrepreneurs",3,35.9968790600024
"2013-Q4","Hybrid Entrepreneurs",5,64.0031209399976
"2013-Q4","Non-Entrepreneurs",1,20.8818100386589
"2013-Q4","Non-Entrepreneurs",3,16.2413537331956
"2013-Q4","Non-Entrepreneurs",4,19.7925434575592
"2013-Q4","Non-Entrepreneurs",5,24.9646321468596
"2013-Q4","Non-Entrepreneurs",6,5.42892152314638
"2013-Q4","Non-Entrepreneurs",7,12.6907391005803
"2013-Q4","Poly-Entrepreneurs",1,38.4376306466201
"2013-Q4","Poly-Entrepreneurs",3,17.0686468899756
"2013-Q4","Poly-Entrepreneurs",4,25.5271911234041
"2013-Q4","Poly-Entrepreneurs",5,13.4652300418326
"2013-Q4","Poly-Entrepreneurs",6,5.50130129816747
"2014-Q1","Hybrid Entrepreneurs",3,28.2048674104596
"2014-Q1","Hybrid Entrepreneurs",5,71.7951325895404
"2014-Q1","Non-Entrepreneurs",1,21.27065491971
"2014-Q1","Non-Entrepreneurs",3,16.3866844664548
"2014-Q1","Non-Entrepreneurs",4,19.8473983018327
"2014-Q1","Non-Entrepreneurs",5,25.0131828034033
"2014-Q1","Non-Entrepreneurs",6,5.2601967331399
"2014-Q1","Non-Entrepreneurs",7,12.2218827754594
"2014-Q1","Poly-Entrepreneurs",1,36.5955642600922
"2014-Q1","Poly-Entrepreneurs",3,15.6606485454837
"2014-Q1","Poly-Entrepreneurs",4,19.8084838558239
"2014-Q1","Poly-Entrepreneurs",5,14.0120062809168
"2014-Q1","Poly-Entrepreneurs",6,3.62266544468819
"2014-Q1","Poly-Entrepreneurs",7,10.3006316129951
"2014-Q2","Hybrid Entrepreneurs",3,28.8098102688226
"2014-Q2","Hybrid Entrepreneurs",4,15.5277249268563
"2014-Q2","Hybrid Entrepreneurs",5,55.6624648043211
"2014-Q2","Non-Entrepreneurs",1,21.3577413392033
"2014-Q2","Non-Entrepreneurs",3,16.3735959054122
"2014-Q2","Non-Entrepreneurs",4,19.7977319144863
"2014-Q2","Non-Entrepreneurs",5,25.2358431272661
"2014-Q2","Non-Entrepreneurs",6,5.11694869838204
"2014-Q2","Non-Entrepreneurs",7,12.11813901525
"2014-Q2","Poly-Entrepreneurs",1,22.2807255073418
"2014-Q2","Poly-Entrepreneurs",3,23.025979887984
"2014-Q2","Poly-Entrepreneurs",4,18.9655262602427
"2014-Q2","Poly-Entrepreneurs",5,11.5896908200896
"2014-Q2","Poly-Entrepreneurs",6,16.1599346381592
"2014-Q2","Poly-Entrepreneurs",7,7.97814288618263
"2014-Q3","Hybrid Entrepreneurs",4,46.2528754552924
"2014-Q3","Hybrid Entrepreneurs",5,53.7471245447076
"2014-Q3","Non-Entrepreneurs",1,21.5757957195259
"2014-Q3","Non-Entrepreneurs",3,16.489057374712
"2014-Q3","Non-Entrepreneurs",4,19.9633682846914
"2014-Q3","Non-Entrepreneurs",5,25.1521649043954
"2014-Q3","Non-Entrepreneurs",6,5.04605277089333
"2014-Q3","Non-Entrepreneurs",7,11.773560945782
"2014-Q3","Poly-Entrepreneurs",1,23.1812703767163
"2014-Q3","Poly-Entrepreneurs",3,20.8970630185894
"2014-Q3","Poly-Entrepreneurs",4,28.0025892442796
