# A tibble: 10 × 4
   paiperc `Hybrid Entrepreneurs` `Non-Entrepreneurs` `Poly-Entrepreneurs`
     <dbl>                  <dbl>               <dbl>                <dbl>
 1       1                 61.1                77.5                 78.8  
 2       3                 12.1                 1.23                 7.41 
 3       4                  5.64                5.12                 2.53 
 4       5                  2.99                1.09                 2.52 
 5       6                 16.0                 8.07                 5.39 
 6       7                  1.72                2.65                 0.598
 7       9                  0.425               0.644                0.332
 8       8                  0                   0.937                0.799
 9      10                  0                   1.22                 1.42 
10      99                  0                   1.56                 0.210
