"category_var","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4","2017-Q1","2017-Q2","2017-Q3","2017-Q4","2018-Q1","2018-Q2","2018-Q3","2018-Q4","2019-Q1","2019-Q2","2019-Q3","2019-Q4","2020-Q1","2020-Q2","2020-Q3","2020-Q4"
"Hybrid Entrepreneurs - 1",100,100,68.2140879049489,67.7016187643308,55.9603626134091,77.0585590413476,0,0,46.922782176462,25.1979757613049,26.9524175152757,30.5092226132967,37.343232546306,47.2289547119175,60.9657629925462,77.1049813227609,81.0805641613099,42.8608155871836,24.9171034578815,60.9120328664334,79.7496717831642,67.4647053370077,79.1779255914944,74.5614462856433,100,100,69.0617587700618,66.1323621524056,80.7555326204206,79.7147811681952,100,100
"Hybrid Entrepreneurs - 3",0,0,31.7859120950511,32.2983812356691,24.5052268594552,22.9414409586524,53.7471245447076,41.3603552868885,0,0,0,0,0,0,0,0,0,0,37.8732243082577,13.4971287333757,20.2503282168358,32.5352946629923,20.8220744085056,25.4385537143567,0,0,30.9382412299382,24.2331156635879,0,0,0,0
"Hybrid Entrepreneurs - 4",0,0,0,0,0,0,0,0,29.8948220891256,15.7318935163994,22.1160957805022,21.1231769151702,16.4022342833294,17.8170970819398,0,0,0,57.1391844128164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hybrid Entrepreneurs - 5",0,0,0,0,0,0,0,0,0,0,0,0,8.91441882028361,10.7769484041925,14.9844425343405,22.8950186772391,0,0,37.2096722338608,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hybrid Entrepreneurs - 6",0,0,0,0,19.5344105271357,0,46.2528754552924,58.6396447131115,23.1823957344124,59.0701307222958,50.9314867042221,48.3676004715331,26.7433893140868,24.1769998019502,24.0497944731133,0,0,0,0,0,0,0,0,0,0,0,0,9.63452218400647,19.2444673795794,20.2852188318048,0,0
"Hybrid Entrepreneurs - 7",0,0,0,0,0,0,0,0,0,0,0,0,10.5967250359941,0,0,0,0,0,0,25.590838400191,0,0,0,0,0,0,0,0,0,0,0,0
"Hybrid Entrepreneurs - 9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9194358386901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Non-Entrepreneurs - 1",78.385510554668,78.515793734704,78.6763881184839,78.3668022989983,78.527869617303,78.5218903853545,78.3229553249748,77.6822885174017,77.4422159020329,77.651480207951,77.9194122203483,77.8587312077986,77.8117044016688,77.8805208089305,77.8970730509849,77.5915535095897,77.5542974333953,77.1508813610658,77.1043176482891,76.7371983495542,77.0494689309044,76.793170795148,77.0585091496033,77.05139845175,76.8294810516906,76.7160003851219,76.7394445243358,76.6463112829348,76.635505880823,77.2523799178988,76.7371928377744,76.7725743570285
"Non-Entrepreneurs - 10",1.08606372242557,1.17373156814822,1.09812887997042,1.15248004830301,1.00687376940109,1.02441781471985,1.04923349834388,1.05166247762724,1.02958863605485,1.13071331247682,1.12203583298099,1.1576332182527,1.1871792392435,1.21759009173974,1.21436207561215,1.2915888017904,1.27572248919026,1.15269837974599,1.27734428361761,1.28689103341882,1.39541347958009,1.33885235418787,1.37973702773919,1.30111362688082,1.33160374970011,1.30897622447548,1.4022313888234,1.34043028915125,1.35760656236999,1.36812146922218,1.33536790659872,1.25634636583387
"Non-Entrepreneurs - 3",1.24023805308177,1.21119696247838,1.22121832107914,1.16314396561943,1.13903190793154,1.23309861865217,1.30146126559354,1.32343355610747,1.29149539877673,1.26103010750699,1.31449055199965,1.31071983413939,1.26171733218038,1.24702509134595,1.31707961524976,1.30772828480291,1.34036876380739,1.28806381234698,1.32799150786345,1.23912968325862,1.16047740413753,1.15436832206929,1.21515968952793,1.1327851650945,1.1927511813473,1.15363266807562,1.17962963820255,1.17620141817185,1.28677126823593,1.19570069114689,1.18067922332229,1.16634834583311
