"date","nafg010n","2013-Q1_Non-Entrepreneurs","2013-Q1_Poly-Entrepreneurs","2013-Q2_Hybrid Entrepreneurs","2013-Q2_Non-Entrepreneurs","2013-Q2_Poly-Entrepreneurs","2013-Q3_Hybrid Entrepreneurs","2013-Q3_Non-Entrepreneurs","2013-Q3_Poly-Entrepreneurs","2013-Q4_Hybrid Entrepreneurs","2013-Q4_Non-Entrepreneurs","2013-Q4_Poly-Entrepreneurs","2014-Q1_Hybrid Entrepreneurs","2014-Q1_Non-Entrepreneurs","2014-Q1_Poly-Entrepreneurs","2014-Q2_Hybrid Entrepreneurs","2014-Q2_Non-Entrepreneurs","2014-Q2_Poly-Entrepreneurs","2014-Q3_Hybrid Entrepreneurs","2014-Q3_Non-Entrepreneurs","2014-Q3_Poly-Entrepreneurs","2014-Q4_Hybrid Entrepreneurs","2014-Q4_Non-Entrepreneurs","2014-Q4_Poly-Entrepreneurs","2015-Q1_Hybrid Entrepreneurs","2015-Q1_Non-Entrepreneurs","2015-Q1_Poly-Entrepreneurs","2015-Q2_Hybrid Entrepreneurs","2015-Q2_Non-Entrepreneurs","2015-Q2_Poly-Entrepreneurs","2015-Q3_Hybrid Entrepreneurs","2015-Q3_Non-Entrepreneurs","2015-Q3_Poly-Entrepreneurs","2015-Q4_Hybrid Entrepreneurs","2015-Q4_Non-Entrepreneurs","2015-Q4_Poly-Entrepreneurs","2016-Q1_Hybrid Entrepreneurs","2016-Q1_Non-Entrepreneurs","2016-Q1_Poly-Entrepreneurs","2016-Q2_Hybrid Entrepreneurs","2016-Q2_Non-Entrepreneurs","2016-Q2_Poly-Entrepreneurs","2016-Q3_Hybrid Entrepreneurs","2016-Q3_Non-Entrepreneurs","2016-Q3_Poly-Entrepreneurs","2016-Q4_Hybrid Entrepreneurs","2016-Q4_Non-Entrepreneurs","2016-Q4_Poly-Entrepreneurs","2017-Q1_Hybrid Entrepreneurs","2017-Q1_Non-Entrepreneurs","2017-Q1_Poly-Entrepreneurs","2017-Q2_Non-Entrepreneurs","2017-Q2_Poly-Entrepreneurs","2017-Q3_Non-Entrepreneurs","2017-Q3_Poly-Entrepreneurs","2017-Q4_Hybrid Entrepreneurs","2017-Q4_Non-Entrepreneurs","2017-Q4_Poly-Entrepreneurs","2018-Q1_Hybrid Entrepreneurs","2018-Q1_Non-Entrepreneurs","2018-Q1_Poly-Entrepreneurs","2018-Q2_Non-Entrepreneurs","2018-Q2_Poly-Entrepreneurs","2018-Q3_Hybrid Entrepreneurs","2018-Q3_Non-Entrepreneurs","2018-Q3_Poly-Entrepreneurs","2018-Q4_Hybrid Entrepreneurs","2018-Q4_Non-Entrepreneurs","2018-Q4_Poly-Entrepreneurs","2019-Q1_Non-Entrepreneurs","2019-Q1_Poly-Entrepreneurs","2019-Q2_Non-Entrepreneurs","2019-Q2_Poly-Entrepreneurs","2019-Q3_Hybrid Entrepreneurs","2019-Q3_Non-Entrepreneurs","2019-Q3_Poly-Entrepreneurs","2019-Q4_Hybrid Entrepreneurs","2019-Q4_Non-Entrepreneurs","2019-Q4_Poly-Entrepreneurs","2020-Q1_Hybrid Entrepreneurs","2020-Q1_Non-Entrepreneurs","2020-Q1_Poly-Entrepreneurs","2020-Q2_Hybrid Entrepreneurs","2020-Q2_Non-Entrepreneurs","2020-Q2_Poly-Entrepreneurs","2020-Q3_Hybrid Entrepreneurs","2020-Q3_Non-Entrepreneurs","2020-Q3_Poly-Entrepreneurs","2020-Q4_Hybrid Entrepreneurs","2020-Q4_Non-Entrepreneurs","2020-Q4_Poly-Entrepreneurs","2017-Q3_Hybrid Entrepreneurs","2018-Q2_Hybrid Entrepreneurs","2019-Q1_Hybrid Entrepreneurs","2019-Q2_Hybrid Entrepreneurs","2013-Q1_Hybrid Entrepreneurs","2017-Q2_Hybrid Entrepreneurs"
2013-01-01,"RU",1615548.0283432,527.975341796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,"RU",0,0,564.480651855469,1634417.00177383,670.159942626953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,"RU",0,0,0,0,0,954.982391357422,1598945.95478821,1140.78999328613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,"RU",0,0,0,0,0,0,0,0,1023.69638061523,1496300.09341431,1083.34286499023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,"RU",0,0,0,0,0,0,0,0,0,0,0,561.237731933594,1499671.27474976,537.284042358398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,"RU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,575.993713378906,1477668.61289978,1707.32586669922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,"RU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762.827270507812,1405211.29323578,2453.2746887207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,"RU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758.707702636719,1374999.93434143,3112.13284301758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,"RU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561.471109569671,1355476.63630222,3429.26922513029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,"RU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2044.4858058169,1342551.85983597,3103.12251796863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
