"month_year","Have.improved","Have.remained.the.same","Have.worsened"
"2006-06","15.1","62.4","21.8"
"2006-09","11.9","65","22.9"
"2006-12","11.1","65.3","23.3"
"2007-03","11.1","65.3","23.2"
"2007-06","11.6","64.1","23.6"
"2007-09","6.7","58.7","34.1"
"2007-12","4.8","49.1","45.5"
"2008-03","2.4","37.1","60.1"
"2008-06","1.7","28.8","69"
"2008-09","0.6","18","81"
"2008-12","0.6","16","82.5"
"2009-03","0.2","10","89.1"
"2009-06","0.5","17.1","81.9"
"2009-09","1.8","23.5","74.1"
"2009-12","1.6","29.1","68.6"
"2010-03","2","33.8","64"
"2010-06","6.2","45.8","47.4"
"2010-09","5.3","46.9","47.4"
"2010-12","3","41.5","54.7"
"2011-03","4.5","48.2","46.8"
"2011-06","1.9","36.2","61.4"
"2011-09","1.7","33.7","64.1"
"2011-12","1.9","38.3","59.4"
"2012-03","1.9","40.3","57.5"
"2012-06","4.5","51.3","44"
"2012-09","2.9","50.7","46"
"2012-12","1.6","45.6","52.2"
"2013-03","6.6","63.7","29.2"
"2013-06","13.2","68.2","18"
"2013-09","12.3","66.9","20.6"
"2013-12","12.3","65.9","21.5"
"2014-03","13.2","66.8","19.6"
"2014-06","13.5","62.6","23.5"
"2014-09","11.1","56.9","31.5"
"2014-12","5.9","54.7","38.8"
"2015-03","7","61","31.6"
"2015-06","11.9","60.4","27.3"
"2015-09","12.4","59.6","27.6"
"2015-12","9","64.3","26.3"
"2016-03","5.5","65.8","28"
"2016-06","4.3","63.7","31.6"
"2016-09","4.9","66.6","28"
"2016-12","4.4","65.8","29.2"
"2017-03","6.2","68.9","24.3"
"2017-06","6.5","70.3","22.7"
"2017-09","7.6","71","21.1"
"2017-12","8.3","70.9","20.2"
"2018-03","9.6","68","22"
"2018-06","8.6","72.6","18.5"
"2018-09","7.4","71.3","20.7"
"2018-12","7.3","70.7","21.6"
"2019-03","4.8","70.9","24"
"2019-06","3.7","67.1","28.7"
"2019-09","3.2","67.3","29.2"
"2019-12","3.2","62.7","33"
"2020-03","3.3","56","39.6"
"2020-06","0.9","26","72.1"
"2020-09","0.6","22.4","76.2"
"2020-12","1.1","27.2","71.3"
"2021-03","1","27.6","70.4"
"2021-06","2.2","33.4","63.8"
"2021-09","2.5","38.6","57.8"
"2021-12","5.2","43.2","51"
"2022-03","3.6","38.3","57.4"
"2022-06","5.3","38.2","56"
"2022-09","4.8","31.4","63.2"
"2022-12","5.2","27.1","67"
"2023-03","6.8","28.8","63.9"
"2023-06","13.7","36.3","49.6"
"2023-09","12.5","31.9","55"
"2023-12","9.3","31.2","58.9"
"2024-03","10.7","42","46.8"
"2024-06","7.7","34","57.5"
"2024-09","6.9","37.5","55.1"
"2024-12","3.9","35.9","59.8"
